date,ticker,action,size,price,value,commission,status
2016-01-05,CNF,BUY,1388888.0,0.024000000208616198,33333.312289744536,33.33331228974453,Completed
2016-01-05,GGB,BUY,28985.0,1.1399999856948853,33042.89958536625,33.04289958536625,Completed
2016-01-05,VERB,BUY,0.0,0.0,0.0,0.0,Margin
2016-02-02,AMPY,BUY,35767.0,0.8799999952316284,31474.959829449654,31.474959829449656,Completed
2016-02-02,CNF,SELL,-1388888.0,0.0230000000447034,33333.312289744536,31.944424062088014,Completed
2016-02-02,CNF,CLOSE,0.0,0.0230000000447034,-1388.8882276565173,65.27773635183254,TRADE_CLOSE
2016-02-02,GGB,BUY,4147.0,1.0,4147.0,4.147,Completed
2016-02-02,SESN,BUY,0.0,0.0,0.0,0.0,Margin
2016-03-02,AMPY,BUY,63057.0,0.2300000041723251,14503.110263094304,14.503110263094305,Completed
2016-03-02,GGB,SELL,-33132.0,0.9200000166893004,37189.89958536625,30.4814405529499,Completed
2016-03-02,GGB,CLOSE,0.0,0.949999988079071,-6708.4590324163455,67.67134013831614,TRADE_CLOSE
2016-03-02,SESN,BUY,75513.0,0.3059999942779541,23106.977567911148,23.106977567911148,Completed
2016-03-02,TT,BUY,0.0,0.0,0.0,0.0,Margin
2016-04-04,ALT,BUY,0.0,0.0,0.0,0.0,Margin
2016-04-04,AMPY,SELL,-14769.0,0.2800000011920929,6871.307751121,4.13532001760602,Completed
2016-04-04,JPT,BUY,0.0,0.0,0.0,0.0,Margin
2016-04-04,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2016-05-03,ALT,BUY,0.0,0.0,0.0,0.0,Margin
2016-05-03,AMPY,BUY,0.0,0.0,0.0,0.0,Margin
2016-05-03,JPT,BUY,0.0,0.0,0.0,0.0,Margin
2016-05-03,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2016-06-02,ALT,BUY,0.0,0.0,0.0,0.0,Margin
2016-06-02,AMPY,SELL,0.0,0.0,0.0,0.0,Margin
2016-06-02,JPT,BUY,0.0,0.0,0.0,0.0,Margin
2016-06-02,PBC,BUY,0.0,0.0,0.0,0.0,Margin
2016-06-02,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2016-06-28,JPT,BUY,0.0,0.0,0.0,0.0,Margin
2016-07-05,AMPY,BUY,0.0,0.0,0.0,0.0,Margin
2016-07-05,PBC,BUY,0.0,0.0,0.0,0.0,Margin
2016-07-05,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2016-07-22,JPT,BUY,0.0,0.0,0.0,0.0,Margin
2016-08-02,ALT,BUY,0.0,0.0,0.0,0.0,Margin
2016-08-02,AMPY,SELL,0.0,0.0,0.0,0.0,Margin
2016-08-02,PBC,BUY,0.0,0.0,0.0,0.0,Margin
2016-08-02,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2016-09-02,AMPY,SELL,-84055.0,0.1700000017881393,39106.76234142296,14.289350150302049,Completed
2016-09-02,AMPY,CLOSE,0.0,0.1700000017881393,-27553.399924635894,64.40274026045202,TRADE_CLOSE
2016-09-02,BLU,BUY,0.0,0.0,0.0,0.0,Margin
2016-09-02,HMI,BUY,0.0,0.0,0.0,0.0,Margin
2016-09-02,JPT,BUY,0.0,0.0,0.0,0.0,Margin
2016-09-02,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2016-10-04,BLU,BUY,0.0,0.0,0.0,0.0,Margin
2016-10-04,JPT,BUY,0.0,0.0,0.0,0.0,Margin
2016-10-04,NEW,BUY,0.0,0.0,0.0,0.0,Margin
2016-10-04,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2016-11-02,BLU,BUY,0.0,0.0,0.0,0.0,Margin
2016-11-02,JPT,BUY,0.0,0.0,0.0,0.0,Margin
2016-11-02,PBC,BUY,0.0,0.0,0.0,0.0,Margin
2016-11-02,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2016-12-02,CVM,BUY,0.0,0.0,0.0,0.0,Margin
2016-12-02,JPT,BUY,0.0,0.0,0.0,0.0,Margin
2016-12-02,LBC,BUY,0.0,0.0,0.0,0.0,Margin
2016-12-02,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2017-01-04,ALT,BUY,0.0,0.0,0.0,0.0,Margin
2017-01-04,CVM,BUY,0.0,0.0,0.0,0.0,Margin
2017-01-04,PBC,BUY,0.0,0.0,0.0,0.0,Margin
2017-01-04,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2017-02-02,ALT,BUY,0.0,0.0,0.0,0.0,Margin
2017-02-02,CVM,BUY,0.0,0.0,0.0,0.0,Margin
2017-02-02,PBC,BUY,0.0,0.0,0.0,0.0,Margin
2017-02-02,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2017-03-02,ALT,BUY,0.0,0.0,0.0,0.0,Margin
2017-03-02,CVM,BUY,0.0,0.0,0.0,0.0,Margin
2017-03-02,PBC,BUY,0.0,0.0,0.0,0.0,Margin
2017-03-02,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2017-04-04,ALT,BUY,0.0,0.0,0.0,0.0,Margin
2017-04-04,HMI,BUY,0.0,0.0,0.0,0.0,Margin
2017-04-04,LBC,BUY,0.0,0.0,0.0,0.0,Margin
2017-04-04,SESN,SELL,0.0,0.0,0.0,0.0,Margin
2017-05-02,SESN,SELL,-75513.0,1.899999976158142,23106.977567911148,143.47469819962978,Completed
2017-05-02,SESN,CLOSE,0.0,1.850000023841858,120367.72063171864,166.58167576754093,TRADE_CLOSE
