date,ticker,action,size,price,value,commission,status
2017-01-04,AMZN,BUY,44.0,753.6699829101562,33161.479248046875,33.161479248046874,Completed
2017-01-04,CHE,BUY,205.0,162.11000061035156,33232.55012512207,33.232550125122074,Completed
2017-01-04,MTD,BUY,78.0,422.3500061035156,32943.30047607422,32.94330047607422,Completed
2017-02-02,ACN,BUY,0.0,0.0,0.0,0.0,Margin
2017-02-02,AMZN,SELL,0.0,0.0,0.0,0.0,Margin
2017-02-02,CHE,SELL,-205.0,166.92999267578125,33232.55012512207,34.22064849853516,Completed
2017-02-02,CHE,CLOSE,0.0,167.9499969482422,988.0983734130859,67.45319862365724,TRADE_CLOSE
2017-02-02,MTD,BUY,0.0,0.0,0.0,0.0,Margin
2017-03-02,AAPL,BUY,0.0,0.0,0.0,0.0,Margin
2017-03-02,AMZN,SELL,-44.0,853.0800170898438,33161.479248046875,37.53552075195312,Completed
2017-03-02,AMZN,CLOSE,0.0,848.9099731445312,4374.04150390625,70.697,TRADE_CLOSE
2017-03-02,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2017-03-02,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2017-04-04,ACN,BUY,310.0,117.63999938964844,36468.399810791016,36.46839981079101,Completed
2017-04-04,CHK,BUY,0.0,0.0,0.0,0.0,Margin
2017-04-04,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2017-05-02,AAXN,BUY,0.0,0.0,0.0,0.0,Margin
2017-05-02,ACN,SELL,-310.0,121.25,36468.399810791016,37.5875,Completed
2017-05-02,ACN,CLOSE,0.0,120.68000030517578,1119.1001892089844,74.055899810791,TRADE_CLOSE
2017-05-02,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2017-05-02,CHK,BUY,0.0,0.0,0.0,0.0,Margin
2017-05-02,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2017-06-02,ACN,BUY,317.0,125.29000091552734,39716.93029022217,39.716930290222166,Completed
2017-06-02,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2017-06-02,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2017-07-05,AAXN,BUY,0.0,0.0,0.0,0.0,Margin
2017-07-05,ACN,SELL,-317.0,123.93000030517578,39716.93029022217,39.285810096740725,Completed
2017-07-05,ACN,CLOSE,0.0,124.0500030517578,-431.1201934814453,79.0027403869629,TRADE_CLOSE
2017-07-05,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2017-07-05,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2017-08-02,ACN,BUY,301.0,129.86000061035156,39087.86018371582,39.08786018371582,Completed
2017-08-02,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2017-08-02,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2017-09-05,AAPL,BUY,0.0,0.0,0.0,0.0,Margin
2017-09-05,ACN,SELL,-301.0,130.10000610351562,39087.86018371582,39.1601018371582,Completed
2017-09-05,ACN,CLOSE,0.0,129.77000427246094,72.24165344238281,78.24796202087401,TRADE_CLOSE
2017-09-05,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2017-09-05,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2017-10-03,AAXN,BUY,1780.0,22.90999984741211,40779.799728393555,40.779799728393556,Completed
2017-10-03,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2017-10-03,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2017-11-02,AAXN,SELL,-1780.0,23.030000686645508,40779.799728393555,40.993401222229004,Completed
2017-11-02,AAXN,CLOSE,0.0,23.479999542236328,213.60149383544922,81.77320095062257,TRADE_CLOSE
2017-11-02,ACN,BUY,295.0,142.9600067138672,42173.20198059082,42.17320198059082,Completed
2017-11-02,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2017-11-02,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2017-12-04,ABMD,BUY,0.0,0.0,0.0,0.0,Margin
2017-12-04,ACN,SELL,-295.0,146.57000732421875,42173.20198059082,43.23815216064453,Completed
2017-12-04,ACN,CLOSE,0.0,147.14999389648438,1064.950180053711,85.41135414123535,TRADE_CLOSE
2017-12-04,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2017-12-04,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2018-01-03,AAPL,BUY,237.0,172.25999450683594,40825.61869812012,40.82561869812012,Completed
2018-01-03,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2018-01-03,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2018-02-02,AAPL,SELL,-237.0,167.77999877929688,40825.61869812012,39.76385971069336,Completed
2018-02-02,AAPL,CLOSE,0.0,160.5,-1061.7589874267578,80.58947840881348,TRADE_CLOSE
2018-02-02,CHE,BUY,158.0,265.3099975585937,41918.979614257805,41.9189796142578,Completed
2018-02-02,GPRO,BUY,0.0,0.0,0.0,0.0,Margin
2018-02-02,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2018-03-02,AAPL,BUY,0.0,0.0,0.0,0.0,Margin
2018-03-02,CHE,SELL,0.0,0.0,0.0,0.0,Margin
2018-03-02,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2018-04-03,AAPL,BUY,0.0,0.0,0.0,0.0,Margin
2018-04-03,CHE,SELL,-158.0,268.07000732421875,41918.979614257805,42.355061157226565,Completed
2018-04-03,CHE,CLOSE,0.0,273.6199951171875,436.081542968759,84.27404077148437,TRADE_CLOSE
2018-04-03,CLNY,BUY,0.0,0.0,0.0,0.0,Margin
2018-04-03,MTD,SELL,0.0,0.0,0.0,0.0,Margin
2018-05-02,ACN,BUY,257.0,151.9199981689453,39043.439529418945,39.04343952941895,Completed
2018-05-02,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2018-05-02,MTD,SELL,-9.0,567.219970703125,3801.1500549316406,5.104979736328126,Completed
2018-06-04,ACN,SELL,-257.0,158.88999938964844,39043.439529418945,40.83472984313965,Completed
2018-06-04,ACN,CLOSE,0.0,159.42999267578125,1791.2903137207031,79.8781693725586,TRADE_CLOSE
2018-06-04,CHE,BUY,120.0,328.8599853515625,39463.1982421875,39.463198242187495,Completed
2018-06-04,CHK,BUY,8771.0,4.53000020980835,39732.631840229034,39.73263184022904,Completed
2018-07-03,AAPL,BUY,0.0,0.0,0.0,0.0,Margin
2018-07-03,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2018-07-03,CHK,SELL,-8771.0,5.179999828338623,39732.631840229034,45.433778494358066,Completed
2018-07-03,CHK,CLOSE,0.0,5.28000020980835,5701.146654129028,85.16641033458711,TRADE_CLOSE
2018-07-03,MTD,BUY,3.0,570.7999877929688,1712.3999633789062,1.7123999633789062,Completed
2018-08-02,ACN,BUY,259.0,159.7100067138672,41364.8917388916,41.3648917388916,Completed
2018-08-02,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2018-08-02,MTD,SELL,-1.0,587.52001953125,428.53542200724286,0.58752001953125,Completed
2018-09-05,ACN,SELL,-259.0,169.5,41364.8917388916,43.9005,Completed
2018-09-05,ACN,CLOSE,0.0,168.63999938964844,2535.6082611083984,85.2653917388916,TRADE_CLOSE
2018-09-05,CHE,BUY,12.0,318.8500061035156,3826.2000732421875,3.8262000732421875,Completed
2018-09-05,MTD,BUY,1.0,580.4500122070312,580.4500122070312,0.5804500122070313,Completed
2018-09-05,NE,BUY,7107.0,5.949999809265137,42286.64864444733,42.286648644447325,Completed
2018-10-02,AMZN,BUY,0.0,0.0,0.0,0.0,Margin
2018-10-02,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2018-10-02,MTD,BUY,0.0,0.0,0.0,0.0,Margin
2018-10-02,NE,SELL,-7107.0,7.070000171661377,42286.64864444733,50.24649121999741,Completed
2018-10-02,NE,CLOSE,0.0,7.0,7959.842575550079,92.53313986444473,TRADE_CLOSE
2018-11-02,AMZN,BUY,26.0,1665.530029296875,43303.78076171875,43.303780761718755,Completed
2018-11-02,CHE,BUY,11.0,305.6400146484375,3362.0401611328125,3.3620401611328123,Completed
2018-11-02,MTD,BUY,6.0,559.6900024414062,3358.1400146484375,3.3581400146484377,Completed
2018-12-04,AAPL,BUY,0.0,0.0,0.0,0.0,Margin
2018-12-04,CHE,SELL,0.0,0.0,0.0,0.0,Margin
2018-12-04,MTD,SELL,-78.0,645.3300170898438,34364.60498936971,50.33574133300781,Completed
2018-12-04,MTD,CLOSE,0.0,628.6699829101562,17433.95062255859,94.62253155517578,TRADE_CLOSE
2018-12-04,QEP,BUY,5607.0,8.460000038146973,47435.220213890076,47.43522021389008,Completed
2019-01-03,AAPL,BUY,0.0,0.0,0.0,0.0,Margin
2019-01-03,AMZN,SELL,0.0,0.0,0.0,0.0,Margin
2019-01-03,CHE,SELL,0.0,0.0,0.0,0.0,Margin
2019-01-03,QEP,SELL,0.0,0.0,0.0,0.0,Margin
2019-02-04,AAPL,BUY,0.0,0.0,0.0,0.0,Margin
2019-02-04,AMZN,BUY,0.0,0.0,0.0,0.0,Margin
2019-02-04,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2019-02-04,QEP,SELL,-5607.0,8.420000076293945,47435.220213890076,47.21094042778015,Completed
2019-02-04,QEP,CLOSE,0.0,8.460000038146973,-224.27978610992432,94.64616064167024,TRADE_CLOSE
2019-03-04,AAPL,BUY,269.0,174.97000122070312,47066.93032836914,47.066930328369146,Completed
2019-03-04,AMZN,BUY,2.0,1671.72998046875,3343.4599609375,3.3434599609375,Completed
2019-04-02,AAPL,SELL,-9.0,191.2400054931641,1574.7300109863281,1.7211600494384771,Completed
2019-04-02,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2019-05-02,AAPL,SELL,-12.0,210.5200042724609,2099.6400146484375,2.526240051269531,Completed
2019-05-02,CHE,BUY,0.0,0.0,0.0,0.0,Margin
2019-06-04,AAPL,BUY,24.0,173.3000030517578,4159.2000732421875,4.159200073242188,Completed
2019-06-04,AAXN,BUY,0.0,0.0,0.0,0.0,Margin
2019-06-04,CHE,SELL,0.0,0.0,0.0,0.0,Margin
2019-07-02,AAPL,SELL,-5.0,201.5500030517578,874.1132422054516,1.007750015258789,Completed
2019-07-02,CHE,SELL,-143.0,364.5400085449219,46651.4384765625,52.129221221923835,Completed
2019-07-02,CHE,CLOSE,0.0,364.55999755859375,5477.782745361327,98.78065969848632,TRADE_CLOSE
2019-07-02,RRC,BUY,0.0,0.0,0.0,0.0,Margin
2019-08-02,AAPL,SELL,-9.0,208.42999267578125,1573.4038359698127,1.8758699340820315,Completed
2019-08-02,AAXN,BUY,784.0,68.44000244140625,53656.9619140625,53.6569619140625,Completed
2019-09-04,AAPL,SELL,-13.0,205.6999969482422,2272.694429734174,2.6740999603271485,Completed
2019-09-04,AAXN,BUY,69.0,58.9900016784668,4070.310115814209,4.070310115814209,Completed
2019-10-02,AAPL,SELL,-245.0,224.58999633789065,42831.548868067126,55.02454910278321,Completed
2019-10-02,AAPL,CLOSE,0.0,218.9600067138672,13603.538711547857,116.05579951477051,TRADE_CLOSE
2019-10-02,AAXN,BUY,69.0,54.220001220703125,3741.1800842285156,3.741180084228516,Completed
2019-10-02,ADS,BUY,396.0,126.04000091552734,49911.84036254883,49.91184036254883,Completed
2019-11-04,AAXN,SELL,-922.0,52.52000045776367,61468.452114105225,48.42344042205811,Completed
