date,ticker,action,size,price,value,commission,status
2017-01-04,ACN,BUY,171.0,116.45999908447266,19914.659843444824,19.914659843444827,Completed
2017-01-04,ADBE,BUY,193.0,103.4800033569336,19971.640647888184,19.971640647888183,Completed
2017-01-04,BDX,BUY,121.0,165.14999389648438,19983.14926147461,19.98314926147461,Completed
2017-01-04,SYK,BUY,167.0,119.43000030517578,19944.810050964355,19.944810050964357,Completed
2017-01-04,UNH,BUY,123.0,161.4499969482422,19858.34962463379,19.85834962463379,Completed
2017-02-02,ACN,BUY,0.0,0.0,0.0,0.0,Margin
2017-02-02,ADBE,SELL,-193.0,113.36000061035156,19971.640647888184,21.878480117797853,Completed
2017-02-02,ADBE,CLOSE,0.0,113.16000366210938,1906.839469909668,41.850120765686036,TRADE_CLOSE
2017-02-02,BDX,SELL,-5.0,178.97000122070312,825.7499694824219,0.8948500061035156,Completed
2017-02-02,RTN,BUY,143.0,144.80999755859375,20707.829650878906,20.70782965087891,Completed
2017-02-02,SYK,BUY,1.0,123.12000274658205,123.12000274658205,0.12312000274658205,Completed
2017-02-02,UNH,BUY,4.0,162.7100067138672,650.8400268554688,0.6508400268554687,Completed
2017-03-02,ACN,BUY,5.0,124.06999969482422,620.3499984741211,0.6203499984741211,Completed
2017-03-02,BDX,BUY,2.0,185.33999633789065,370.6799926757813,0.37067999267578133,Completed
2017-03-02,QQQ,BUY,0.0,0.0,0.0,0.0,Margin
2017-03-02,RTN,SELL,-143.0,154.57000732421875,20707.829650878906,22.103511047363284,Completed
2017-03-02,RTN,CLOSE,0.0,154.3000030517578,1395.681396484375,42.81134069824219,TRADE_CLOSE
2017-03-02,SHW,BUY,0.0,0.0,0.0,0.0,Margin
2017-03-02,SYK,SELL,-168.0,131.0500030517578,20067.930053710938,22.016400512695313,Completed
2017-03-02,SYK,CLOSE,0.0,130.7899932861328,1948.470458984375,42.08433056640625,TRADE_CLOSE
2017-03-02,UNH,BUY,3.0,167.94000244140625,503.82000732421875,0.5038200073242187,Completed
2017-04-04,ACN,BUY,7.0,117.63999938964844,823.4799957275391,0.823479995727539,Completed
2017-04-04,INTU,BUY,185.0,116.16999816894533,21491.449661254886,21.491449661254887,Completed
2017-04-04,SHW,BUY,70.0,308.6099853515625,21602.698974609375,21.60269897460938,Completed
2017-05-02,ACN,BUY,0.0,0.0,0.0,0.0,Margin
