date,ticker,status,action,created_size,created_price,exec_size,exec_price,exec_value,commission,size,price,value,pnl_gross,pnl_net,cash,portfolio_value
2010-02-02,AAPL,accepted,BUY,1198.0,27.81857109069824,0.0,0.0,0.0,0.0,,,,,,,
2010-02-02,AAPL,completed,BUY,1198.0,27.81857109069824,1198.0,27.98714256286621,33528.59679031372,33.52859679031372,,,,,,,
2010-02-02,AAPL,submitted,BUY,1198.0,27.81857109069824,0.0,0.0,0.0,0.0,,,,,,,
2010-02-02,MSFT,accepted,BUY,1173.0,28.40999984741211,0.0,0.0,0.0,0.0,,,,,,,
2010-02-02,MSFT,completed,BUY,1173.0,28.40999984741211,1173.0,28.3700008392334,33278.01098442078,33.278010984420774,,,,,,,
2010-02-02,MSFT,submitted,BUY,1173.0,28.40999984741211,0.0,0.0,0.0,0.0,,,,,,,
2010-02-02,NVDA,margin,BUY,2011.0,16.56999969482422,0.0,0.0,0.0,0.0,,,,,,,
2010-02-02,NVDA,submitted,BUY,2011.0,16.56999969482422,0.0,0.0,0.0,0.0,,,,,,,
2010-03-02,AAPL,accepted,SELL,-48.0,29.855714797973636,0.0,0.0,0.0,0.0,,,,,,,
2010-03-02,AAPL,completed,SELL,-48.0,29.855714797973636,-48.0,29.989999771118164,1343.3828430175781,1.4395199890136718,,,,,,,
2010-03-02,AAPL,submitted,SELL,-48.0,29.855714797973636,0.0,0.0,0.0,0.0,,,,,,,
2010-03-02,MSFT,accepted,BUY,9.0,29.020000457763672,0.0,0.0,0.0,0.0,,,,,,,
2010-03-02,MSFT,completed,BUY,9.0,29.020000457763672,9.0,29.079999923706048,261.71999931335444,0.2617199993133545,,,,,,,
2010-03-02,MSFT,submitted,BUY,9.0,29.020000457763672,0.0,0.0,0.0,0.0,,,,,,,
2010-03-02,NVDA,margin,BUY,2036.0,16.850000381469727,0.0,0.0,0.0,0.0,,,,,,,
2010-03-02,NVDA,submitted,BUY,2036.0,16.850000381469727,0.0,0.0,0.0,0.0,,,,,,,
2010-04-05,AAPL,accepted,SELL,-86.0,33.709999084472656,0.0,0.0,0.0,0.0,,,,,,,
2010-04-05,AAPL,completed,SELL,-86.0,33.709999084472656,-86.0,33.568572998046875,2406.894260406494,2.8868972778320314,,,,,,,
2010-04-05,AAPL,submitted,SELL,-86.0,33.709999084472656,0.0,0.0,0.0,0.0,,,,,,,
2010-04-05,MSFT,accepted,BUY,47.0,29.15999984741211,0.0,0.0,0.0,0.0,,,,,,,
2010-04-05,MSFT,completed,BUY,47.0,29.15999984741211,47.0,29.1299991607666,1369.1099605560303,1.3691099605560302,,,,,,,
2010-04-05,MSFT,submitted,BUY,47.0,29.15999984741211,0.0,0.0,0.0,0.0,,,,,,,
2010-04-05,NVDA,margin,BUY,2081.0,17.219999313354492,0.0,0.0,0.0,0.0,,,,,,,
2010-04-05,NVDA,submitted,BUY,2081.0,17.219999313354492,0.0,0.0,0.0,0.0,,,,,,,
2010-05-04,AAPL,accepted,SELL,-63.0,38.04999923706055,0.0,0.0,0.0,0.0,,,,,,,
2010-05-04,AAPL,completed,SELL,-63.0,38.04999923706055,-63.0,37.55571365356445,1763.1899814605713,2.3660099601745608,,,,,,,
2010-05-04,AAPL,submitted,SELL,-63.0,38.04999923706055,0.0,0.0,0.0,0.0,,,,,,,
2010-05-04,MSFT,accepted,BUY,4.0,30.86000061035156,0.0,0.0,0.0,0.0,,,,,,,
2010-05-04,MSFT,completed,BUY,4.0,30.86000061035156,4.0,30.520000457763672,122.08000183105469,0.12208000183105469,,,,,,,
2010-05-04,MSFT,submitted,BUY,4.0,30.86000061035156,0.0,0.0,0.0,0.0,,,,,,,
2010-05-04,NVDA,margin,BUY,2450.0,15.539999961853027,0.0,0.0,0.0,0.0,,,,,,,
2010-05-04,NVDA,submitted,BUY,2450.0,15.539999961853027,0.0,0.0,0.0,0.0,,,,,,,
2010-06-02,AAPL,accepted,SELL,-41.0,37.26142883300781,0.0,0.0,0.0,0.0,,,,,,,
2010-06-02,AAPL,completed,SELL,-41.0,37.26142883300781,-41.0,37.79142761230469,1147.4728450775146,1.5494485321044922,,,,,,,
2010-06-02,AAPL,submitted,SELL,-41.0,37.26142883300781,0.0,0.0,0.0,0.0,,,,,,,
2010-06-02,MSFT,accepted,BUY,148.0,25.88999938964844,0.0,0.0,0.0,0.0,,,,,,,
2010-06-02,MSFT,completed,BUY,148.0,25.88999938964844,148.0,26.059999465942383,3856.8799209594727,3.8568799209594724,,,,,,,
2010-06-02,MSFT,submitted,BUY,148.0,25.88999938964844,0.0,0.0,0.0,0.0,,,,,,,
2010-06-02,NVDA,margin,BUY,2842.0,12.579999923706056,0.0,0.0,0.0,0.0,,,,,,,
2010-06-02,NVDA,submitted,BUY,2842.0,12.579999923706056,0.0,0.0,0.0,0.0,,,,,,,
2010-07-02,AAPL,accepted,SELL,-3.0,35.49714279174805,0.0,0.0,0.0,0.0,,,,,,,
2010-07-02,AAPL,completed,SELL,-3.0,35.49714279174805,-3.0,35.78428649902344,83.96142768859863,0.10735285949707031,,,,,,,
2010-07-02,AAPL,submitted,SELL,-3.0,35.49714279174805,0.0,0.0,0.0,0.0,,,,,,,
2010-07-02,MSFT,accepted,BUY,84.0,23.15999984741211,0.0,0.0,0.0,0.0,,,,,,,
2010-07-02,MSFT,completed,BUY,84.0,23.15999984741211,84.0,23.36000061035156,1962.240051269531,1.962240051269531,,,,,,,
2010-07-02,MSFT,submitted,BUY,84.0,23.15999984741211,0.0,0.0,0.0,0.0,,,,,,,
2010-07-02,NVDA,margin,BUY,3269.0,10.380000114440918,0.0,0.0,0.0,0.0,,,,,,,
2010-07-02,NVDA,submitted,BUY,3269.0,10.380000114440918,0.0,0.0,0.0,0.0,,,,,,,
2010-08-03,AAPL,accepted,BUY,7.0,37.40714263916016,0.0,0.0,0.0,0.0,,,,,,,
2010-08-03,AAPL,completed,BUY,7.0,37.40714263916016,7.0,37.28714370727539,261.01000595092773,0.2610100059509277,,,,,,,
2010-08-03,AAPL,submitted,BUY,7.0,37.40714263916016,0.0,0.0,0.0,0.0,,,,,,,
2010-08-03,MSFT,accepted,SELL,-94.0,26.32999992370605,0.0,0.0,0.0,0.0,,,,,,,
2010-08-03,MSFT,completed,SELL,-94.0,26.32999992370605,-94.0,26.200000762939453,2621.09477564841,2.4628000717163085,,,,,,,
2010-08-03,MSFT,submitted,SELL,-94.0,26.32999992370605,0.0,0.0,0.0,0.0,,,,,,,
2010-08-03,NVDA,margin,BUY,3931.0,9.18000030517578,0.0,0.0,0.0,0.0,,,,,,,
2010-08-03,NVDA,submitted,BUY,3931.0,9.18000030517578,0.0,0.0,0.0,0.0,,,,,,,
2010-09-02,MSFT,accepted,BUY,70.0,23.899999618530277,0.0,0.0,0.0,0.0,,,,,,,
2010-09-02,MSFT,completed,BUY,70.0,23.899999618530277,70.0,23.8799991607666,1671.599941253662,1.6715999412536622,,,,,,,
2010-09-02,MSFT,submitted,BUY,70.0,23.899999618530277,0.0,0.0,0.0,0.0,,,,,,,
2010-09-02,NVDA,margin,BUY,3664.0,9.399999618530272,0.0,0.0,0.0,0.0,,,,,,,
2010-09-02,NVDA,submitted,BUY,3664.0,9.399999618530272,0.0,0.0,0.0,0.0,,,,,,,
2010-10-04,AAPL,accepted,SELL,-68.0,40.36000061035156,0.0,0.0,0.0,0.0,,,,,,,
2010-10-04,AAPL,completed,SELL,-68.0,40.36000061035156,-68.0,40.22857284545898,1907.7178110225566,2.7355429534912106,,,,,,,
2010-10-04,AAPL,submitted,SELL,-68.0,40.36000061035156,0.0,0.0,0.0,0.0,,,,,,,
2010-10-04,MSFT,accepted,BUY,41.0,24.3799991607666,0.0,0.0,0.0,0.0,,,,,,,
2010-10-04,MSFT,completed,BUY,41.0,24.3799991607666,41.0,23.959999084472656,982.3599624633789,0.982359962463379,,,,,,,
2010-10-04,MSFT,submitted,BUY,41.0,24.3799991607666,0.0,0.0,0.0,0.0,,,,,,,
2010-10-04,NVDA,margin,BUY,3185.0,11.350000381469728,0.0,0.0,0.0,0.0,,,,,,,
2010-10-04,NVDA,submitted,BUY,3185.0,11.350000381469728,0.0,0.0,0.0,0.0,,,,,,,
2010-11-02,AAPL,accepted,SELL,-13.0,43.45428466796875,0.0,0.0,0.0,0.0,,,,,,,
2010-11-02,AAPL,completed,SELL,-13.0,43.45428466796875,-13.0,43.85714340209961,364.7107579896064,0.570142864227295,,,,,,,
2010-11-02,AAPL,submitted,SELL,-13.0,43.45428466796875,0.0,0.0,0.0,0.0,,,,,,,
2010-11-02,MSFT,accepted,SELL,-59.0,26.950000762939453,0.0,0.0,0.0,0.0,,,,,,,
2010-11-02,MSFT,completed,SELL,-59.0,26.950000762939453,-59.0,27.059999465942383,1627.5920760720055,1.5965399684906008,,,,,,,
