datetime,side,price,size,commission
1982-09-07,BUY,0.3125,29866.0,9.333124999999999
1983-07-27,SELL,0.6986607313156128,-29866.0,20.866201401472093
1984-03-09,BUY,0.4799107015132904,43909.0,21.07239899274707
1984-07-16,SELL,0.4709821343421936,-43909.0,20.680354536831377
1984-08-20,BUY,0.4910714328289032,42046.0,20.647589464724064
1984-09-12,SELL,0.4799107015132904,-42046.0,20.17832535582781
1984-12-28,BUY,0.4955357015132904,40658.0,20.147490552127362
1985-03-11,SELL,0.3973214328289032,-40658.0,16.154294815957545
1985-11-05,BUY,0.3348214328289032,48380.0,16.198660920262338
1986-10-23,SELL,0.5803571343421936,-48380.0,28.07767815947533
1986-11-10,BUY,0.640625,43542.0,27.89409375
1987-11-04,SELL,1.2678571939468384,-43542.0,55.205037938833236
1988-03-15,BUY,1.6428571939468384,32982.0,54.184715970754624
1988-04-08,SELL,1.4553571939468384,-32982.0,48.00059097075462
1988-05-10,BUY,1.4464285373687744,33201.0,48.02287386918068
1988-06-01,SELL,1.4821428060531616,-33201.0,49.20862330377102
1988-06-07,BUY,1.5625,31427.0,49.1046875
1988-08-29,SELL,1.4553571939468384,-31427.0,45.73751053416729
1989-01-17,BUY,1.5446428060531616,29435.0,45.46656099617481
1989-02-06,SELL,1.4107142686843872,-29435.0,41.52437449872494
1989-05-03,BUY,1.4196428060531616,29523.0,41.91211456310749
1989-07-27,SELL,1.3660714626312256,-29523.0,40.33052779126167
1989-08-09,BUY,1.5714285373687744,25645.0,40.29928484082222
1989-12-12,SELL,1.4017857313156128,-25645.0,35.94879507958889
1990-04-10,BUY,1.4732142686843872,24562.0,36.18508886742592
1990-08-24,SELL,1.2589285373687744,-24562.0,30.921802734851838
1990-12-11,BUY,1.4732142686843872,20691.0,30.482276433348655
1991-05-24,SELL,1.625,-20691.0,33.622875
1992-11-10,BUY,1.9642857313156128,17163.0,33.713036006569865
1993-04-06,SELL,1.7857142686843872,-17163.0,30.648213993430137
1993-06-02,BUY,2.0267856121063232,15130.0,30.665266311168672
1993-06-09,SELL,1.6071428060531616,-15130.0,24.316070655584337
1994-01-14,BUY,1.0982142686843872,22422.0,24.62416033244133
1994-04-29,SELL,1.0714285373687744,-22422.0,24.023570664882662
1994-08-15,BUY,1.2410714626312256,19248.0,23.888143512725833
1995-03-20,SELL,1.2544642686843872,-19248.0,24.145928243637087
1995-05-18,BUY,1.5758928060531616,15332.0,24.161588502407074
1995-09-22,SELL,1.3169642686843872,-15332.0,20.191696167469026
1996-10-18,BUY,0.9464285969734192,21402.0,20.25546483242512
1997-01-07,SELL,0.6473214030265808,-21402.0,13.853972667574883
1998-02-25,BUY,0.7611607313156128,18200.0,13.853125309944152
1998-12-16,SELL,1.2053571939468384,-18200.0,21.937500929832456
1998-12-29,BUY,1.46875,14892.0,21.872625
1999-03-03,SELL,1.2410714626312256,-14892.0,18.48203622150421
1999-04-29,BUY,1.5446428060531616,11678.0,18.03833868908882
2000-05-25,SELL,3.1607143878936768,-11678.0,36.91082262182236
2000-09-12,BUY,4.095982074737549,8820.0,36.126561899185184
2000-10-03,SELL,1.78125,-8820.0,15.710625
2001-04-23,BUY,1.7385714054107666,9371.0,16.292152640104295
2001-08-03,SELL,1.420714259147644,-9371.0,13.313513322472573
2001-12-06,BUY,1.677142858505249,8139.0,13.65026572537422
2002-06-17,SELL,1.445714235305786,-8139.0,11.76666816115379
2003-05-13,BUY,1.316428542137146,9008.0,11.858388307571412
2003-12-17,SELL,1.4342857599258425,-9008.0,12.920046125411991
2005-07-18,BUY,5.915714263916016,2183.0,12.914004238128662
2006-03-31,SELL,9.035714149475098,-2183.0,19.724963988304136
2006-04-27,BUY,9.675714492797852,2013.0,19.477213274002075
2006-05-25,SELL,9.18000030517578,-2013.0,18.479340614318843
2006-08-18,BUY,9.672857284545898,1924.0,18.61057741546631
2008-02-04,SELL,19.1728572845459,-1924.0,36.88857741546631
2008-05-01,BUY,24.994285583496094,1466.0,36.64162266540527
2008-09-18,SELL,18.652856826782227,-1466.0,27.345088108062743
2009-04-06,BUY,16.420000076293945,1645.0,27.01090012550354
2011-06-14,SELL,47.14285659790039,-1645.0,77.54999910354614
2011-07-18,BUY,52.20428466796875,1471.0,76.79250274658203
2012-11-09,SELL,77.2028579711914,-1471.0,113.56540407562257
2013-08-12,BUY,65.26571655273438,1733.0,113.10548678588867
2015-08-06,SELL,115.97000122070312,-1733.0,200.97601211547854
2016-04-14,BUY,111.62000274658205,1770.0,197.56740486145023
2016-05-02,SELL,93.97000122070312,-1770.0,166.32690216064452
2016-08-04,BUY,105.58000183105467,1582.0,167.0275628967285
2018-11-26,SELL,174.24000549316406,-1582.0,275.64768869018553
2019-04-08,BUY,196.4199981689453,1387.0,272.43453746032714
2020-03-27,SELL,252.75,-1387.0,350.56425
